label,text,label_id
inform,im looking for a moderately priced restaurant that serves,0
inform,any part of town,0
inform,bistro food,0
confirm,is there a moderately priced restaurant that serves british food,1
affirm,yes,2
request,could i get their phone number,3
thankyou,thank you good bye,4
inform,moderately priced restaurant in the south part of town,0
inform,any,0
request,address,3
null,code,5
request,postcode,3
request,postcode,3
thankyou,thank you goodbye,4
inform,cheap,0
inform,any,0
inform,mediterranean,0
request,phone number,3
request,phone,3
request,address,3
request,phone number,3
bye,goodbye,6
inform,im looking for a restaurant that serves seafood,0
inform,any,0
inform,seafood,0
request,can i get the address and phone number,3
thankyou,thank you goodbye,4
null,hello welcome to the cambridge system,5
inform,east,0
inform,expensive,0
inform,any type,0
reqalts,is there anything else,7
request,could i have their phone number and the type of food,3
request,type of food,3
thankyou,thank you good bye,4
inform,expensive restaurant,0
inform,north,0
affirm,yes,2
inform,fusion food,0
inform,asian oriental,0
request,whats the phone number,3
thankyou,thank you good bye,4
inform,restaurant in the north part of town serv,0
inform,scottish,0
inform,scottish,0
reqalts,how about french food,7
request,phone number,3
request,phone number,3
thankyou,thank you good bye,4
inform,i need a restaurant in the north,0
inform,part of town that serves chinese food,0
null,um,5
inform,cheap price range,0
inform,i need one in the cheap price range,0
request,well can i get the address and the post code,3
null,okay,5
thankyou,okay thank you good bye,4
inform,im looking for am expensive restaurant in the south part,0
inform,uh it doesnt matter,0
inform,hindi food is okay,0
inform,doesnt matter,0
negate,no im sorry it should be expensive,8
reqalts,is the anything else,7
inform,you said expensive,0
inform,its expensive,0
request,can i have the address and phone number,3
request,what is the post code,3
thankyou,thank you good bye,4
null,im looking,5
null,im looking,5
inform,looking for a moderately priced restaurant in the east part of town,0
inform,it doesnt matter,0
reqalts,is there anything else,7
request,phone number,3
thankyou,thank you good bye,4
null,sil,5
inform,im looking for a cheap restaurant in the east part of town,0
request,what type of food,3
request,what is the address,3
thankyou,thank you good bye,4
inform,expensive,0
inform,east,0
inform,any,0
inform,food,0
request,type of food,3
request,address,3
request,phone number,3
request,type of food served,3
thankyou,thank you,4
bye,good bye,6
inform,a cheap mexican restaurant,0
reqalts,how about a cheap asian oriental restaurant,7
inform,asian oriental,0
request,uh whats the phone number and address please,3
thankyou,thank you good bye,4
inform,cheap restaurant,0
inform,in the east part of town,0
request,phone number,3
request,phone number,3
request,address,3
thankyou,thank you good bye,4
inform,i need a restaurant in the west part of town that serves europ,0
inform,european,0
request,could i have the phone number please,3
thankyou,thank you good bye,4
inform,i need a restaurant serving crossover food in the west part of town,0
reqalts,how about vietnamese,7
inform,what about vietnamese,0
inform,vietnamese food,0
affirm,yes,2
request,whats the phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the center serving greek food,0
reqalts,how about french food,7
confirm,is it serving french food,1
request,what is the price range,3
request,what is the address and phone number,3
request,whats the phone number,3
thankyou,thank you good bye,4
inform,im looking for a cheap restaurant,0
inform,south,0
inform,i dont care,0
request,do you have the address,3
request,phone number,3
request,its a type of food,3
thankyou,thank you good bye,4
inform,english food center part of town,0
affirm,yes,2
inform,british food,0
inform,dont care,0
request,what is the address and phone number,3
thankyou,thank you good bye,4
inform,thai food,0
inform,any,0
inform,thai,0
request,address,3
thankyou,thank you goodbye,4
inform,uh expensive restaurant in the south,0
affirm,yes,2
inform,i dont care,0
inform,dont care,0
inform,expensive,0
request,what is the address and phone number,3
request,address,3
thankyou,thank you good bye,4
inform,im looking for corsica food,0
inform,im looking for gastropub food,0
inform,i am looking for gastropub food,0
negate,no im looking for gastropub food,8
inform,i am looking for gastropub food,0
inform,gastropub food,0
null,care,5
inform,dont care,0
inform,dont care,0
request,what is the address and phone number,3
request,what is the post code,3
thankyou,thank you good bye,4
inform,european restaurant,0
inform,any part,0
inform,any,0
affirm,yes,2
reqalts,any more,7
request,address,3
request,phone number,3
thankyou,thank you good bye,4
null,cough,5
inform,christmas food,0
null,cough,5
inform,indian food,0
null,cough,5
inform,cheap,0
inform,cheap,0
null,cough,5
inform,cheap price range,0
request,address,3
thankyou,thank you goodbye,4
inform,moderate price in south,0
inform,south,0
inform,the south,0
inform,south,0
inform,any,0
reqalts,anything else,7
inform,south,0
inform,west,0
inform,west,0
inform,dont care,0
inform,east,0
inform,south,0
inform,in the south,0
reqalts,anything else,7
request,address,3
request,phone number,3
thankyou,thank you goodbye,4
inform,expensive restaurant,0
inform,any,0
inform,european food,0
request,address,3
request,phone number,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant that serves turkish food,0
request,can i get the address,3
thankyou,thank you good bye,4
inform,mexican food,0
request,whats the address,3
request,whats the phone number,3
thankyou,thank you good bye,4
inform,i want to find a restaurant in the south part of town,0
inform,polynesian food,0
reqalts,how about portuguese,7
reqalts,how about portuguese food,7
request,may i have the phone number and address,3
thankyou,thank you good bye,4
null,unintelligible,5
null,unintelligible,5
null,unintelligible,5
inform,im looking for venison food cross talk,0
reqalts,cross talk how about gastro pub,7
affirm,yes,2
reqalts,how about gastro pub,7
inform,how about gastro pub type of food,0
request,whats the address,3
request,and the phone number,3
request,and the post code,3
request,what type of food is this,3
thankyou,thank you good bye,4
inform,im looking for a japanese restaurant in the east part,0
inform,im looking for an indian restaurant in the,0
affirm,yes,2
inform,i dont care,0
request,what is the address and phone number,3
thankyou,thank you good bye,4
inform,iam looking for a restaurant in the center,0
inform,serve kosher food,0
affirm,yes,2
reqalts,how about italian food,7
inform,im looking for a restaurant serving,0
reqalts,okay how about italian food,7
affirm,yes,2
affirm,yes,2
inform,any price range,0
request,what is the phone number,3
thankyou,thank you good bye,4
inform,venetian food,0
inform,asian oriental food,0
inform,asian oriental,0
inform,any area,0
inform,food,0
null,cough,5
null,may i,5
request,may i have the phone number and address,3
thankyou,thank you good bye,4
inform,i want to find moderately priced restaurant it should be,0
inform,east part of town,0
inform,i dont care,0
request,can i get the phone number,3
thankyou,thank you goodbye,4
inform,the west part of town id like a cheap restaurant,0
inform,any kind of food,0
reqalts,are there any other cheap restaurants in the west part of town,7
reqalts,is there another restaurant in the west of town,7
