experiment_group,starting_experiment,age,gender,education_level,l1,l2,l3,l4,l5,l6,cs1,cs2,cs3,likert,customer_satisfaction
B,B,24,male,High school,3,4,6,8,8,6,4,6,5,5.83,5.00
A,B,24,male,High school,3,6,6,8,6,5,5,5,5,5.67,5.00
B,B,25,male,High school,3,5,5,1,5,8,2,4,3,4.50,3.00
A,B,25,male,High school,4,6,5,1,2,3,3,5,3,3.50,3.67
A,A,22,male,Bachelor's degree,2,2,3,6,3,3,2,4,2,3.17,2.67
B,A,22,male,Bachelor's degree,4,7,6,7,8,7,5,5,5,6.50,5.00
B,B,24,male,Bachelor's degree,6,8,7,6,7,7,7,7,6,6.83,6.67
A,B,24,male,Bachelor's degree,5,1,7,7,1,1,3,4,2,3.67,3.00
A,A,22,male,Bachelor's degree,4,8,4,9,6,5,6,6,5,6.00,5.67
B,A,22,male,Bachelor's degree,6,8,5,8,6,6,6,6,6,6.50,6.00
A,A,18,female,High school,5,6,5,6,5,5,5,5,6,5.33,5.33
B,A,18,female,High school,6,6,5,5,7,6,5,5,6,5.83,5.33
B,B,30,male,Prefer not to say,4,7,5,6,8,7,6,6,7,6.17,6.33
A,B,30,male,Prefer not to say,5,5,6,7,2,1,5,5,3,4.33,4.33
B,B,22,male,Bachelor's degree,7,7,7,8,8,7,6,6,6,7.33,6.00
A,B,22,male,Bachelor's degree,5,5,5,6,4,5,3,3,3,5.00,3.00
A,A,18,female,Prefer not to say,5,6,6,6,5,5,5,5,5,5.50,5.00
B,A,18,female,Prefer not to say,6,7,7,6,6,6,5,5,5,6.33,5.00
B,B,18,female,Below high school,6,7,6,8,8,6,6,7,6,6.83,6.33
A,B,18,female,Below high school,6,5,7,7,7,6,6,7,6,6.33,6.33
A,A,18,female,High school,3,5,4,3,7,3,6,6,6,4.17,6.00
B,A,18,female,High school,3,3,4,6,2,4,6,4,5,3.67,5.00
A,A,20,male,High school,3,5,5,7,4,3,6,5,4,4.50,5.00
B,A,20,male,High school,5,7,6,7,8,8,7,6,6,6.83,6.33
B,B,47,female,High school,6,3,5,7,8,4,5,6,5,5.50,5.33
A,B,47,female,High school,4,5,4,7,3,6,4,6,4,4.83,4.67
B,B,71,female,Below high school,8,8,7,8,8,7,7,7,6,7.67,6.67
A,B,71,female,Below high school,7,7,8,8,8,8,7,7,6,7.67,6.67
A,A,29,female,Bachelor's degree,7,8,8,8,9,5,6,6,6,7.50,6.00
B,A,29,female,Bachelor's degree,7,7,7,7,7,5,5,6,5,6.67,5.33
A,A,25,male,Bachelor's degree,6,7,3,7,5,7,5,6,5,5.83,5.33
B,A,25,male,Bachelor's degree,6,7,8,6,4,6,6,7,5,6.17,6.00
A,A,26,female,Master's degree,4,6,5,6,5,5,5,5,6,5.17,5.33
B,A,26,female,Master's degree,6,6,5,6,7,6,6,6,6,6.00,6.00
